name,street,zip_code,city
memminger arena,bodenseestr. 44,87700 ,memmingen
sportpark heimstetten,am sportpark 2,85551,kirchheim bei münchen
georg-weber-stadion,donauwörther straße 45,86638,rain/lech
"sportzentrum ""auf der tulpe""",tulpenweg 60,90768,fürth-burgfarrnbach
vöhlin-stadion,gottfried-hardt-straße 10,89257,illertissen
liqui moly stadion,am sportplatz 8,85072,eichstätt
smr-arena,jahnstraße 7,84418,buchbach
sportanlage langenau,langenaustraße 17,91085,erlangen-eltersdorf
nat-arena,reichertshausener straße,85250,pipinsried
sportanlage reuthinger weg,reuthinger weg,94036,schalding-heining
tivoli,krefelder straße 205,52070,aachen
stadion am zoo,hubertusallee 4,42117,wuppertal
stadion an der hafenstraße,hafenstraße 97a,45356,essen
stadion niederrhein,lindnerstraße 2-6,46149,oberhausen
preußenstadion,hammer straße 302,48153,münster
südstadion,vorgebirgstraße,50969,köln
wersestadion,august-kirchner-straße 14,59229 ,ahlen
sportpark nord,kölnstr. 250,53117,bonn
stadion am lotter kreuz,jahnstr. 8,49504,lotte
franz-kremer-stadion,franz-kremer-allee 1-3,50937,köln
waldstadion,kiefernweg 87-89,41844,wegberg
liebelt-arena,wiedenbrücker straße 83,59555,lippstadt
stadion römerstraße,römerstraße 49,47638,straelen
häcker wiehenstadion,auf der drift 36,32289,rödinghausen
ims arena,bahnhofstraße 116,42551,velbert
pcc-stadion,rheindeichstraße 50,47198,duisburg
neues parkstadion,ernst-kuzzora-weg 1,45891,gelsenkirchen
jahnstadion,rietberger straße 29,33378,rheda-wiedenbrück
stadion am bieberer berg,waldemar-klein-platz 1,63071,offenbach
donaustadion,stadionstraße 17,89073,ulm
auestadion,damaschkestraße 1,34121,kassel
waldstadion homburg,kurt-conrad-straße 8 (ehemals obere allee 100),66424,homburg
ostalb arena,stadionweg 3,73430,aalen
stadion am bruchweg,dr.-martin-luther-king-weg,55122,mainz
psd bank arena,am erlenbruch 1,60386,frankfurt (main)
wirmachendruck arena,am fautenhau 1,71546,großaspach
ursapharm-arena an der kaiserlinde,lindenstraße 2 ,66583,spiesen-elversberg
städtisches stadion husterhöhe,georgia avenue 1,66953,pirmasens
stadion oberwerth,jupp-gauchel-straße 10-12,56075,koblenz
bizerba-arena (spielfeld 1),tübinger straße 71,72336,balingen
dietmar-hopp-stadion,silbergasse 45,74889,sinsheim-hoffenheim
robert-schlienz-stadion,mercedesstraße 109,70372,stuttgart
kaiserstuhlstadion,stadenweg 21,79353,bahlingen am kaiserstuhl
dietmar-hopp-sportpark,schwetzinger str. 92,69190,walldorf
