name,street,zip_code,city
signal iduna park,strobelallee 50,44139,dortmund
allianz arena,werner-heisenberg-allee 25,80939,münchen
olympiastadion berlin,olympischer platz,14053,berlin
mercedes-benz arena,mercedesstraße 87,70372,stuttgart
stadion im borussia-park,hennes-weisweiler-allee,41069,mönchengladbach
deutsche bank park,mörfelder landstraße 362,60528,frankfurt (main)
rheinenergiestadion,aachener straße 999,50933,köln
red bull arena,am sportforum 1,04105,leipzig
europa-park stadion,achim-stocker-straße 1,79108,freiburg
mewa arena,eugen-salomon-straße 1,55124,mainz
wwk arena,bürgermeister-ulrich-straße 90,86199,augsburg
bayarena,bismarckstraße 122-124,51373,leverkusen
prezero arena,dietmar-hopp-straße,74889,sinsheim
volkswagen arena,in den allerwiesen 1,38446,wolfsburg
vonovia ruhrstadion,castroper straße 145,44791,bochum
schücoarena,melanchthonstraße 31a,33615,bielefeld
an der alten försterei,an der wuhlheide 263,12555,berlin
sportpark ronhof | thomas sommer,laubenweg 60,90765,fürth
veltins-arena,rudi-assauer-platz 1,45891,gelsenkirchen
volksparkstadion,sylvesterallee 7,22525,hamburg
merkur spiel-arena,arena straße 1,40474,düsseldorf
max-morlock-stadion,max-morlock-platz 1,90471,nürnberg
hdi-arena,robert-enke-straße 1,30169,hannover
wohninvest-weserstadion,franz-böhmert-straße 7,28205,bremen
rudolf-harbig-stadion,lennéstraße 12,01069,dresden
millerntor-stadion,harald-stender-platz 1,20359,hamburg
ostseestadion,kopernikusstraße 17c,18057,rostock
bbbank wildpark,adenauerring  17,76131,karlsruhe
merck-stadion am böllenfalltor,nieder-ramstädter straße 170,64285,darmstadt
erzgebirgsstadion,lößnitzer straße 95,08280,aue
audi sportpark,am sportpark 1,85053,ingolstadt
bwt-stadion am hardtwald,jahnstr. 1,69207,sandhausen
jahnstadion regensburg,franz-josef-strauß-allee 22,93053,regensburg
holstein-stadion,westring 501,24106,kiel
benteler-arena,paderborner straße 89,33104,paderborn
voith-arena,schloßhaustraße 162,89522,heidenheim
olympiastadion münchen,spiridon-louis-ring 21,80809,münchen                          
fritz-walter-stadion,fritz-walter-straße 1,67663,kaiserslautern
hdi-arena,robert-enke-straße 1,30169,hannover
schauinsland-reisen-arena,margaretenstraße 5-7,47055,duisburg
mdcc-arena,heinz-krügel-platz 1,39114,magdeburg
carl-benz-stadion,theodor-heuss-anlage 20,68165,mannheim
dreisamstadion,schwarzwaldstraße 193,79117 ,freiburg im breisgau
eintracht-stadion,hamburger straße 210,38112,braunschweig
friedrich-ludwig-jahn-sportpark ,cantianstraße 24,10437,berlin-prenzlauer berg 
bremer brücke,scharnhorststraße 50,49084,osnabrück
ludwigsparkstadion,camphauser straße,66113,saarbrücken
brita-arena,berliner straße 9,65189,wiesbaden
erdgas-sportpark,kantstraße 2,06110,halle/saale
städtisches stadion an der grünwalder straße,grünwalder straße 2-4,81547,münchen
hänsch-arena,lathener straße 15a,49716,meppen
flyeralarm arena,mittlerer dallenbergweg 49,97082,würzburg
ggz-arena,stadionallee 1,08066 ,zwickau
stadion im sportpark höhenberg,merheimer heide,51103,köln
rote erde,strobelallee 46,44139,dortmund
connectm-arena,jahnstr. 8,49504,lotte
grundig-stadion,max-morlock-platz 1,90471,nürnberg
rosenaustadion,stadionstraße 21,86159,augsburg
hans-walter-wild-stadion,friedrich-ebert-straße,95448,bayreuth
sachs-stadion,ander-kupfer-platz 2,97424,schweinfurt
sportpark unterhaching,am sportpark 9,82008,unterhaching
städtisches stadion an der grünwalder straße,grünwalder straße,münchen,                                
wacker-arena,franz-alexander-straße 7,84489,burghausen
stadion am schönbusch,kleine schönbuschalle 92,63719,aschaffenburg
jahnstadion,jahnstraße 25,83022,rosenheim
